Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered
101,5,4,92,21,0,0
103,0,1,102,0,0,0
24,0,1,23,14,0,0
226,0,105,121,14,0,0
219,1,0,218,38,0,0
8162,75,510,7577,76,3,0
7798,289,517,6992,1407,94,0
18,0,1,17,8,0,0
1022,3,0,1019,61,1,0
2200,14,4,2182,841,1,0
59,1,20,38,6,0,0
114,1,35,78,32,0,0
2968,70,12,2886,98,12,0
3,1,0,2,0,0,0
3077,43,19,3015,443,15,0
56,0,16,40,3,0,0
51,1,0,50,9,0,0
54,4,12,38,6,0,0
2,0,1,1,1,0,0
56,2,1,53,11,0,0
377,3,23,351,80,0,0
1018,3,6,1009,158,2,0
28,1,6,21,5,0,0
36,0,3,33,9,0,0
1058,5,1,1052,172,1,0
52,2,0,50,1,0,0
7,0,1,6,0,0,0
413,4,0,409,163,3,0
932,3,1,928,57,1,0
37,2,0,35,9,0,0
205,0,1,204,34,0,0
277,0,10,267,33,0,0
6683,149,12,6522,2151,58,0
331,4,8,319,0,0,0
2,1,0,1,1,1,0
4,1,0,3,0,0,0
39,1,1,37,7,0,0
119,2,13,104,6,0,0
134,5,8,121,17,0,0
14991,853,4590,9548,1053,129,0
124,10,26,88,8,0,0
169,2,0,167,40,0,0
218,0,4,214,5,0,0
17,0,1,16,9,0,0
34,0,1,33,4,0,0
110,3,1,106,0,0,0
4,0,1,3,0,0,0
17,0,1,16,5,0,0
77,1,0,76,18,0,0
566,0,42,524,138,0,0
82,0,4,78,29,0,0
29,1,1,27,1,0,0
1416,24,0,1392,278,4,0
18,0,1,17,4,0,0
1333,3,1,1329,112,0,0
22,0,9,13,0,0,0
236,0,2,234,100,0,0
55,1,0,54,12,0,0
142,12,2,128,2,1,0
439,0,4,435,38,0,0
158,0,9,149,27,0,0
90,0,8,82,27,0,0
109,7,4,98,8,2,0
253,1,0,252,34,0,0
28,0,1,27,10,0,0
1103,6,0,1097,81,3,0
2200,14,4,2182,0,0,0
67,1,20,46,8,0,0
147,1,35,111,33,0,0
7,1,0,6,4,0,0
98,0,23,75,0,0,0
61,0,16,45,5,0,0
22,0,1,21,1,0,0
55,1,0,54,4,0,0
60,4,12,44,6,0,0
39,0,1,38,37,0,0
452,5,23,424,75,2,0
28,1,6,21,0,0,0
36,0,3,33,0,0,0
1243,10,1,1232,185,5,0
67,2,0,65,15,0,0
33,0,1,32,26,0,0
470,5,0,465,57,1,0
396,0,3,393,98,0,0
1024,4,1,1019,92,1,0
21,1,0,20,10,1,0
58,2,0,56,21,0,0
225,0,1,224,20,0,0
321,0,10,311,44,0,0
7715,149,12,7554,1032,0,0
34,0,1,33,1,0,0
9257,24,67,9166,1985,7,0
387,5,8,374,56,1,0
6,1,0,5,4,0,0
7,1,0,6,3,0,0
220,1,0,219,40,1,0
172,5,8,159,38,0,0
12,0,2,10,2,0,0
893,30,144,719,50,0,0
34,0,1,33,17,0,0
130,0,9,121,7,0,0
49,0,1,48,15,0,0
7,0,1,6,3,0,0
25,0,1,24,8,0,0
140,1,0,139,63,0,0
38,0,2,36,8,0,0
93,0,4,89,11,0,0
38,2,1,35,9,1,0
1711,43,0,1668,295,19,0
26,0,1,25,8,0,0
1463,3,1,1459,130,0,0
24,0,9,15,2,0,0
299,0,2,297,63,0,0
69,1,0,68,14,0,0
238,5,13,220,61,1,0
448,1,3,444,117,1,0
439,0,4,435,0,0,0
114,0,8,106,24,0,0
109,7,4,98,0,0,0
26,0,2,24,2,0,0
65,0,1,64,10,0,0
275,1,0,274,22,0,0
44,0,1,43,16,0,0
1190,7,0,1183,87,1,0
2700,27,4,2669,500,13,0
47,1,0,46,29,1,0
6141,131,17,5993,1781,34,0
14,2,0,12,7,1,0
98,0,23,75,0,0,0
66,0,16,50,5,0,0
22,0,1,21,0,0,0
59,2,0,57,4,1,0
74,7,12,55,14,3,0
39,0,1,38,0,0,0
79,2,3,74,11,0,0
84,0,1,83,6,0,0
568,6,23,539,116,1,0
28,1,6,21,0,0,0
14,1,3,10,4,1,0
38,0,2,36,12,0,0
372,3,2,367,51,2,0
92,2,0,90,25,0,0
20,1,0,19,5,1,0
35,0,1,34,2,0,0
648,8,0,640,178,3,0
102,0,1,101,27,0,0
6,0,1,5,1,0,0
81,0,4,77,16,0,0
7,1,0,6,2,1,0
464,0,3,461,68,0,0
1115,4,1,1110,91,0,0
21,1,0,20,0,0,0
111,2,0,109,53,0,0
196,6,32,158,0,2,0
258,0,1,257,33,0,0
336,0,10,326,15,0,0
9124,149,12,8963,1409,0,0
38,0,1,37,4,0,0
418,5,8,405,31,0,0
6,1,0,5,0,0,0
7,1,0,6,0,0,0
58,1,2,55,8,0,0
156,3,14,139,14,0,0
17361,1135,5389,10837,1192,147,0
292,2,5,285,69,0,0
304,0,11,293,54,0,0
13,0,2,11,1,0,0
928,32,144,752,35,2,0
52,0,1,51,18,0,0
71,0,1,70,22,0,0
133,3,3,127,13,0,0
28,0,1,27,21,0,0
27,0,1,26,2,0,0
203,2,0,201,63,1,0
38,0,2,36,0,0,0
118,0,4,114,25,0,0
30,1,1,28,0,1,0
49,2,1,46,11,0,0
2058,58,0,2000,347,15,0
35,0,1,34,9,0,0
1550,6,1,1543,87,3,0
86,1,0,85,17,0,0
145,0,1,144,28,0,0
202,19,5,178,15,7,0
251,5,13,233,13,0,0
448,2,3,443,0,1,0
452,0,4,448,13,0,0
147,0,8,139,33,0,0
119,11,4,104,10,4,0
171,0,6,165,0,0,0
31,0,2,29,5,0,0
83,0,1,82,18,0,0
313,0,114,199,47,0,0
105,1,0,104,33,1,0
275,1,0,274,0,0,0
51,0,1,50,7,0,0
2,1,0,1,1,0,0
1279,10,0,1269,89,3,0
100,1,22,77,23,0,0
98,1,0,97,51,0,0
14,2,0,12,0,0,0
75,0,16,59,9,0,0
22,0,1,21,0,0,0
64,2,0,62,5,0,0
53,0,1,52,14,0,0
97,3,3,91,18,1,0
115,0,1,114,31,0,0
2013,6,9,1998,367,2,0
44,1,6,37,16,0,0
17,1,3,13,3,0,0
51,0,5,46,0,0,0
1795,21,31,1743,309,7,0
63,0,2,61,25,0,0
621,6,2,613,249,3,0
